SUBSTANCIA;CNPJ;LABORATORIO;APRESENTACAO;REGIME_DE_PRECO;PRECO_SEM_IMPOSTOS;TARJA
CLORIDRATO DE CICLOBENZAPRINA;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;5MG COM REV CT BL AL PLAS OPC X 15;Regulado;8.25;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;5MG COM REV CT BL AL PLAS OPC X 30;Regulado;16.52;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;10MG COM REV CT BL AL PLAS OPC X 15;Regulado;10.49;Tarja Vermelha
CLORIDRATO DE CICLOBENZAPRINA;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;10MG COM REV CT BL AL PLAS OPC X 30;Regulado;21.04;Tarja Vermelha
CLORIDRATO DE CICLOBENZAPRINA;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;5MG COM REV CT BL AL PLAS OPC X 15;Regulado;4.73;Tarja Vermelha
CLORIDRATO DE CICLOBENZAPRINA;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;5MG COM REV CT BL AL PLAS OPC X 30;Regulado;9.48;Tarja Vermelha
CLORIDRATO DE CICLOBENZAPRINA;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;10MG COM REV CT BL AL PLAS OPC X 10;Regulado;6.12;Tarja Vermelha
CLORIDRATO DE CICLOBENZAPRINA;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;10MG COM REV CT BL AL PLAS OPC X 15;Regulado;9.17;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;10MG COM REV CT BL AL PLAS OPC X 30;Regulado;18.38;Tarja Vermelha
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;10 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 4;Regulado;2.73;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 4;Regulado;2.44;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;10 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 15;Regulado;10.27;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;10 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 20;Regulado;13.69;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;10 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 50;Regulado;34.34;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;10 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 100;Regulado;68.67;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 7;Regulado;4.29;Sem Informa__es de tarja (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 10;Regulado;6.15;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30;Regulado;18.47;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 50;Regulado;30.78;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 90 ( EMB FRAC );Regulado;55.42;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;10 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 10;Regulado;6.84;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 14;Regulado;8.6;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 15;Regulado;9.22;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 20;Regulado;12.3;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 100;Regulado;61.57;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;10 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 7;Regulado;4.78;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;10 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANSX 14;Regulado;9.59;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;10 MG COM REV CTBL AL PLAS PVC/PE/PVDC TRANS X 30;Regulado;20.6;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;04.301.884/0001-75;AUROBINDO PHARMA IND_STRIA FARMAC_UTICA LIMITADA;10 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 90 ( EMB FRAC );Regulado;61.81;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;5MG COM REV CT BL AL PLAS OPC X 15;Regulado;8.24;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;5MG COM REV CT BL AL PLAS OPC X 30;Regulado;16.48;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;17.115.437/0001-73;LABORAT_RIO GLOBO LTDA;5 MG COM REV CT BL AL PLAS PVC TRANS X 30;Regulado;10.54;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;17.115.437/0001-73;LABORAT_RIO GLOBO LTDA;10 MG COM REV CT BL AL PLAS PVC TRANS X 15;Regulado;7.77;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;17.115.437/0001-73;LABORAT_RIO GLOBO LTDA;5 MG COM REV CT BL AL PLAS PVC TRANS X 15;Regulado;6.34;Tarja Vermelha (*)
CLORIDRATO DE CICLOBENZAPRINA;17.115.437/0001-73;LABORAT_RIO GLOBO LTDA;10 MG COM REV CT BL AL PLAS PVC TRANS X 30;Regulado;12.96;Sem Informa__es de tarja (*)
"CLORIDRATO DE CICLOBENZAPRINA;CAFE_NA ANIDRA";62.462.015/0001-29;APSEN FARMACEUTICA S/A;5 MG + 30 MG COM REV CT BL AL PLAS INC X 4;Regulado;3.26;Tarja Vermelha
"CLORIDRATO DE CICLOBENZAPRINA;CAFE_NA ANIDRA";62.462.015/0001-29;APSEN FARMACEUTICA S/A;5 MG + 30 MG COM REV CT BL AL PLAS INC X 15;Regulado;12.7;Tarja Vermelha
"CLORIDRATO DE CICLOBENZAPRINA;CAFE_NA ANIDRA";62.462.015/0001-29;APSEN FARMACEUTICA S/A;10 MG + 60 MG COM REV CT BL AL PLAS INC X 4;Regulado;3.63;Tarja Vermelha
"CLORIDRATO DE CICLOBENZAPRINA;CAFE_NA ANIDRA";62.462.015/0001-29;APSEN FARMACEUTICA S/A;10 MG + 60 MG COM REV CT BL AL PLAS INC X 15;Regulado;14.12;Tarja Vermelha (*)
"CLORIDRATO DE CICLOBENZAPRINA;LISINATO DE CLONIXINA";72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;(125,0 + 5,0) MG COM REV CT BL AL PLAS OPC X 10;Regulado;14.53;Tarja Vermelha (*)
"CLORIDRATO DE CICLOBENZAPRINA;LISINATO DE CLONIXINA";72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;(125,0 + 5,0) MG COM REV CT BL AL PLAS OPC X 15;Regulado;21.79;Tarja Vermelha (*)
"CLORIDRATO DE CICLOBENZAPRINA;LISINATO DE CLONIXINA";72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;(125,0 + 5,0) MG COM REV CT BL AL PLAS OPC X 30;Regulado;43.59;Tarja Vermelha (*)
"CLORIDRATO DE CICLOBENZAPRINA;LISINATO DE CLONIXINA";72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;(125,0 + 5,0) MG COM REV CT BL AL PLAS OPC X 60;Regulado;87.17;Tarja Vermelha (*)
"CLORIDRATO DE CICLOBENZAPRINA;LISINATO DE CLONIXINA";33.349.473/0001-58;FARMOQU_MICA S/A;125 MG + 5,0 MG COM REV CT BL AL PLAS TRANS X 12;Regulado;22.08;Tarja Vermelha
"CLORIDRATO DE CICLOBENZAPRINA;LISINATO DE CLONIXINA";57.507.378/0003-65;EMS S/A;(125,0 + 5,0) MG COM REV CT BL AL PLAS OPC X 15;Regulado;15.23;Venda Livre/Sem Tarja (*)
"CLORIDRATO DE CICLOBENZAPRINA;LISINATO DE CLONIXINA";57.507.378/0003-65;EMS S/A;(125,0 + 5,0) MG COM REV CT BL AL PLAS OPC X 15;Regulado;15.23;Tarja Vermelha
"CLORIDRATO DE CICLOBENZAPRINA;LISINATO DE CLONIXINA";33.349.473/0001-58;FARMOQU_MICA S/A;125 MG + 5,0 MG COM REV CT BL AL PLAS TRANS X 6;Regulado;11.04;Tarja Vermelha
"CLORIDRATO DE CICLOBENZAPRINA;LISINATO DE CLONIXINA";33.349.473/0001-58;FARMOQU_MICA S/A;125 MG + 5,0 MG COM REV CT BL AL PLAS TRANS X 15;Regulado;27.61;Tarja Vermelha
CLORIDRATO DE CICLOPENTOLATO;43.426.626/0001-77;ALLERGAN PRODUTOS FARMAC_UTICOS LTDA;10 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML;Regulado;5.64;Tarja Vermelha
CLORIDRATO DE CICLOPENTOLATO;60.084.456/0001-09;LATINOFARMA INDUSTRIAS FARMACEUTICAS LTDA;10 MG/ML SOL OFT CT FR GOT PLAS TRANS X 5 ML;Regulado;5.53;Tarja Vermelha
CLORIDRATO DE CICLOPENTOLATO;44.734.671/0001-51;CRIST_LIA PRODUTOS QU_MICOS FARMAC_UTICOS LTDA.;10 MG/ML SOL OFT CT FR GOT PLAS TRANS X 5 ML;Regulado;5.71;Tarja Vermelha (*)
CLORIDRATO DE CIMETIDINA;33.247.743/0001-10;GLAXOSMITHKLINE BRASIL LTDA;200 MG COM REV CT BL AL PLAS TRANS X 10;Regulado;12.63;Tarja Vermelha
CLORIDRATO DE CIMETIDINA;33.247.743/0001-10;GLAXOSMITHKLINE BRASIL LTDA;200 MG COM REV CT BL AL PLAS TRANS X 40;Regulado;48.87;Tarja Vermelha
CLORIDRATO DE CIMETIDINA;33.247.743/0001-10;GLAXOSMITHKLINE BRASIL LTDA;400 MG COM REV CT  BL AL PLAS TRANS X 16;Regulado;38.48;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;61.282.661/0001-41;LABORAT_RIO QU_MICO FARMAC_UTICO BERGAMO LTDA;30MG COM REV CT FR PLAS OPC X 30_;Regulado;536.15;Tarja Vermelha
CLORIDRATO DE CINACALCETE;61.282.661/0001-41;LABORAT_RIO QU_MICO FARMAC_UTICO BERGAMO LTDA;60MG COM REV CT FR PLAS OPC X 30__;Regulado;1048.56;Tarja Vermelha
CLORIDRATO DE CINACALCETE;18.774.815/0001-93;AMGEN BIOTECNOLOGIA DO BRASIL LTDA.;30MG COM REV CT FR PLAS OPC X 30_;Regulado;536.15;Tarja Vermelha
CLORIDRATO DE CINACALCETE;18.774.815/0001-93;AMGEN BIOTECNOLOGIA DO BRASIL LTDA.;60MG COM REV CT FR PLAS OPC X 30__;Regulado;1048.56;Tarja Vermelha
CLORIDRATO DE CINACALCETE;18.774.815/0001-93;AMGEN BIOTECNOLOGIA DO BRASIL LTDA.;90MG COM REV CT FR PLAS OPC X 30__;Regulado;1501.62;Tarja Vermelha
CLORIDRATO DE CINACALCETE;61.286.647/0001-16;SANDOZ DO BRASIL IND_STRIA FARMAC_UTICA LTDA;30 MG COM REV CT BL AL PLAS TRANS X 30;Regulado;348.48;Tarja Vermelha
CLORIDRATO DE CINACALCETE;03.978.166/0001-75;DR. REDDYS FARMAC_UTICA DO BRASIL LTDA;30 MG COM REV CT BL AL PLAS PVC TRANS X 10;Regulado;116.15;Tarja Preta (*)
CLORIDRATO DE CINACALCETE;03.978.166/0001-75;DR. REDDYS FARMAC_UTICA DO BRASIL LTDA;30 MG COM REV CT BL AL PLAS PVC TRANS X 14;Regulado;162.62;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;03.978.166/0001-75;DR. REDDYS FARMAC_UTICA DO BRASIL LTDA;30 MG COM REV CT BL AL PLAS PVC TRANS X 20;Regulado;232.32;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;03.978.166/0001-75;DR. REDDYS FARMAC_UTICA DO BRASIL LTDA;30 MG COM REV CT BL AL PLAS PVC TRANS X 28;Regulado;325.25;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;03.978.166/0001-75;DR. REDDYS FARMAC_UTICA DO BRASIL LTDA;30 MG COM REV CT BL AL PLAS PVC TRANS X 30;Regulado;348.47;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;03.978.166/0001-75;DR. REDDYS FARMAC_UTICA DO BRASIL LTDA;60 MG COM REV CT BL AL PLAS PVC TRANS X 10;Regulado;227.18;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;03.978.166/0001-75;DR. REDDYS FARMAC_UTICA DO BRASIL LTDA;60 MG COM REV CT BL AL PLAS PVC TRANS X 14;Regulado;318.05;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;03.978.166/0001-75;DR. REDDYS FARMAC_UTICA DO BRASIL LTDA;60 MG COM REV CT BL AL PLAS PVC TRANS X 20;Regulado;454.37;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;03.978.166/0001-75;DR. REDDYS FARMAC_UTICA DO BRASIL LTDA;60 MG COM REV CT BL AL PLAS PVC TRANS X 28;Regulado;636.11;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;03.978.166/0001-75;DR. REDDYS FARMAC_UTICA DO BRASIL LTDA;60 MG COM REV CT BL AL PLAS PVC TRANS X 30;Regulado;681.55;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;57.507.378/0003-65;EMS S/A;30 MG COM REV CT BL AL AL X 30;Regulado;536.15;Venda Livre/Sem Tarja (*)
CLORIDRATO DE CINACALCETE;57.507.378/0003-65;EMS S/A;60 MG COM REV CT BL AL AL X 30;Regulado;1056.39;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;44.734.671/0001-51;CRIST_LIA PRODUTOS QU_MICOS FARMAC_UTICOS LTDA.;30 MG COM REV CT FR PLAS OPC X 30;Regulado;530.21;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;44.734.671/0001-51;CRIST_LIA PRODUTOS QU_MICOS FARMAC_UTICOS LTDA.;60 MG COM REV CT FR PLAS OPC X 30;Regulado;1048.56;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;57.507.378/0003-65;EMS S/A;30 MG COM REV CT BL AL AL X 60;Regulado;1072.29;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;57.507.378/0003-65;EMS S/A;30 MG COM REV CT BL AL AL X 100;Regulado;1787.16;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;57.507.378/0003-65;EMS S/A;60 MG COM REV CT BL AL AL X 60;Regulado;2097.12;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;57.507.378/0003-65;EMS S/A;60 MG COM REV CTBL AL AL X 100;Regulado;3495.2;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;57.507.378/0003-65;EMS S/A;30 MG COM REV CT BL AL AL X 60;Regulado;675.19;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;57.507.378/0003-65;EMS S/A;30 MG COM REV CT BL AL AL X 100;Regulado;1125.3;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;57.507.378/0003-65;EMS S/A;60 MG COM REV CT BL AL AL X 30;Regulado;660.23;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;57.507.378/0003-65;EMS S/A;60 MG COM REV CT BL AL AL X 60;Regulado;1320.47;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;57.507.378/0003-65;EMS S/A;60 MG COM REV CTBL AL AL X 100;Regulado;2200.79;Tarja Vermelha (*)
CLORIDRATO DE CINACALCETE;57.507.378/0003-65;EMS S/A;30 MG COM REV CT BL AL AL X 30;Regulado;337.6;Sem Informa__es de tarja (*)
CLORIDRATO DE CIPROEPTADINA;17.562.075/0001-69;CIFARMA CIENT_FICA FARMAC_UTICA LTDA;0,8 MG/ML XPE CT FR VD AMB X 100 ML + 4 MG/G ENV AL X 5 G + COP;Regulado;12.56;Venda Livre/Sem Tarja (*)
CLORIDRATO DE CIPROEPTADINA;25.773.037/0001-83;PHARMASCIENCE IND_STRIA FARMAC_UTICA EIRELI;XPE CT FR PLAS AMB X 240 ML;Liberado;19.21;Tarja Vermelha (*)
"CLORIDRATO DE CIPROEPTADINA;COBAMAMIDA";56.998.701/0001-16;ABBOTT LABORAT_RIOS DO BRASIL LTDA;1  MG + 4  MG  COM CT STR AL X 16;Liberado;9.62;Venda Livre
"CLORIDRATO DE CIPROEPTADINA;COBAMAMIDA";56.998.701/0001-16;ABBOTT LABORAT_RIOS DO BRASIL LTDA;1  MG + 4  MG COM CT STR AL X 30;Liberado;16.96;Venda Livre
"CLORIDRATO DE CIPROEPTADINA;NICOTINAMIDA;CLORIDRATO DE TIAMINA;MONOFOSFATO DE RIBOFLAVINA S_DICA;CLORIDRATO DE PIRIDOXINA;_CIDO ASC_RBICO";46.179.008/0001-68;BRASTERAPICA IND_STRIA FARMAC_UTICA LTDA;4,00 + 0,60 + 0,75 + 0,670+ 6,67 +21,67 MG/ML XPE CT FR VD AMB X 240 ML;Regulado;18.21;Tarja Vermelha
"CLORIDRATO DE CIPROEPTADINA;NICOTINAMIDA;CLORIDRATO DE TIAMINA;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;_CIDO ASC_RBICO";57.507.378/0003-65;EMS S/A;XPE CT FR PLAS PET AMB X 240 ML + COP;Liberado;21.06;Tarja Vermelha (*)
"CLORIDRATO DE CIPROEPTADINA;NICOTINAMIDA;CLORIDRATO DE TIAMINA;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;_CIDO ASC_RBICO";57.507.378/0003-65;EMS S/A;XPE CT FR VD AMB X 240 ML + COP;Liberado;21.06;Venda Livre
CLORIDRATO DE CIPROFLOXACINO;18.459.628/0001-15;BAYER S.A.;500 MG COM REV CT BL AL PLAS(PP) INC X 6;Regulado;102.25;Tarja Vermelha
CLORIDRATO DE CIPROFLOXACINO;18.459.628/0001-15;BAYER S.A.;500 MG COM REV CT BL AL PLAS(PP) INC X 14;Regulado;208.88;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;61.190.096/0001-92;EUROFARMA LABORAT_RIOS S.A.;500 MG COM REV CT BL AL PLAS INC X 6;Regulado;10.59;Tarja Vermelha
CLORIDRATO DE CIPROFLOXACINO;61.190.096/0001-92;EUROFARMA LABORAT_RIOS S.A.;500 MG COM REV CT BL AL PLAS INC X 14;Regulado;24.7;Tarja Vermelha
CLORIDRATO DE CIPROFLOXACINO;61.190.096/0001-92;EUROFARMA LABORAT_RIOS S.A.;500 MG COM REV CT BL AL PLAS TRANS X 14;Regulado;24.7;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;02.501.297/0001-02;PHARLAB IND_STRIA FARMAC_UTICA S.A.;500 MG COM REV CT 2 BL AL PLAS TRANS X 07;Regulado;22.86;Tarja Vermelha
CLORIDRATO DE CIPROFLOXACINO;60.659.463/0029-92;ACH_ LABORAT_RIOS FARMAC_UTICOS S.A;500 MG COM REV CT BL AL PLAS TRANS X 6_;Regulado;22.98;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;60.659.463/0029-92;ACH_ LABORAT_RIOS FARMAC_UTICOS S.A;500 MG COM REV CT BL AL PLAS TRANS X 14;Regulado;53.61;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;17.875.154/0001-20;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;500 MG COM REV CT BL AL PLAS TRANS X 14;Regulado;24.43;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;17.875.154/0001-20;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;500 MG COM REV CT BL AL PLAS TRANS X 210;Regulado;168.65;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;500 MG COM REV CT BL AL PLAS TRANS X 14;Regulado;15.76;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;02.501.297/0001-02;PHARLAB IND_STRIA FARMAC_UTICA S.A.;500 MG COM REV CT BL AL PLAS INC X 14;Regulado;22.86;Tarja Vermelha
CLORIDRATO DE CIPROFLOXACINO;60.659.463/0029-92;ACH_ LABORAT_RIOS FARMAC_UTICOS S.A;500 MG COM REV CT BL AL PLAS TRANS X 14;Regulado;92.59;Venda Livre/Sem Tarja (*)
CLORIDRATO DE CIPROFLOXACINO;60.659.463/0029-92;ACH_ LABORAT_RIOS FARMAC_UTICOS S.A;500 MG COM REV CT BL AL PLAS TRANS X 6_;Regulado;42.61;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;61.286.647/0001-16;SANDOZ DO BRASIL IND_STRIA FARMAC_UTICA LTDA;500 MG COM REV CT BL AL PLAS PVC TRANS X 6;Regulado;25.03;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;61.286.647/0001-16;SANDOZ DO BRASIL IND_STRIA FARMAC_UTICA LTDA;500 MG COM REV CT BL AL PLAS PVC TRANS X 14;Regulado;14.35;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;61.286.647/0001-16;SANDOZ DO BRASIL IND_STRIA FARMAC_UTICA LTDA;250 MG COM REV CT BL AL PLAS TRANS X 14;Regulado;31.93;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;61.286.647/0001-16;SANDOZ DO BRASIL IND_STRIA FARMAC_UTICA LTDA;500 MG COM REV CT BL AL PLAS TRANS X 6;Regulado;38.95;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;61.286.647/0001-16;SANDOZ DO BRASIL IND_STRIA FARMAC_UTICA LTDA;500 MG COM REV CT BL AL PLAS TRANS X 10;Regulado;56.56;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;61.286.647/0001-16;SANDOZ DO BRASIL IND_STRIA FARMAC_UTICA LTDA;500 MG COM REV CT BL AL PLAS TRANS X 14;Regulado;24.67;Tarja Vermelha
CLORIDRATO DE CIPROFLOXACINO;61.100.004/0001-36;ZAMBON LABORAT_RIOS FARMAC_UTICOS LTDA.;5,8 MG/ML SOL OTO CT FR VD AMB GOT X 10 ML_;Regulado;23.69;Tarja Vermelha
CLORIDRATO DE CIPROFLOXACINO;33.069.212/0001-84;MERCK S/A;500 MG COM REV CT BL AL PLAS TRANS X 6;Regulado;18.72;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;33.069.212/0001-84;MERCK S/A;500 MG COM REV CT BL AL PLAS TRANS X 14;Regulado;36.3;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;43.426.626/0001-77;ALLERGAN PRODUTOS FARMAC_UTICOS LTDA;3,5 MG/ML SOL OFT CT FR PLAST OPC GOT X 5 ML;Regulado;15.31;Tarja Vermelha
CLORIDRATO DE CIPROFLOXACINO;43.426.626/0001-77;ALLERGAN PRODUTOS FARMAC_UTICOS LTDA;3,5 MG/G POM OFT CT BG AL X 3,5 G;Regulado;14.61;Tarja Vermelha
CLORIDRATO DE CIPROFLOXACINO;17.115.437/0001-73;LABORAT_RIO GLOBO LTDA;500 MG COM REV CT BL AL PLAS TRANS X 14;Regulado;19.92;Tarja Vermelha
CLORIDRATO DE CIPROFLOXACINO;73.856.593/0001-66;PRATI DONADUZZI & CIA LTDA;250 MG COM  REV CT BL AL PLAS TRANS X 300;Regulado;293.22;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;73.856.593/0001-66;PRATI DONADUZZI & CIA LTDA;500 MG COM REV CT BL AL PLAS TRANS X 14;Regulado;38.19;Tarja Vermelha (*)
CLORIDRATO DE CIPROFLOXACINO;73.856.593/0001-66;PRATI DONADUZZI & CIA LTDA;500 MG COM  REV CT BL AL PLAS TRANS X 300;Regulado;407.17;Tarja Vermelha
CLORIDRATO DE CIPROFLOXACINO;02.814.497/0001-07;CIMED IND_STRIA DE MEDICAMENTOS LTDA;500 MG COM REV CT BL AL PLAS TRANS X 14;Regulado;40.02;Tarja Vermelha
CLORIDRATO DE CIPROFLOXACINO;03.485.572/0001-04;GEOLAB IND_STRIA FARMAC_UTICA S/A;500 MG COM REV CT BL AL PLAS TRANS X 14;Regulado;38.09;Tarja Vermelha
CLORIDRATO DE CIPROFLOXACINO;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;500 MG COM REV CT BL AL PLAS OPC X 14;Regulado;30.27;Tarja Vermelha
CLORIDRATO DE CIPROFLOXACINO;45.992.062/0001-65;GERMED FARMACEUTICA LTDA;3,5 MG/ML SOL OFT CT FR GOT PLAS TRANSL X 5 ML;Regulado;9.87;Tarja Vermelha
